Name,Life Expectancy,GDP per capita,Population
MONACO,89.5,78700,30581
SINGAPORE,85,87100,5781728
JAPAN,85,38900,126702133
MACAU,84.5,96100,597425
SAN MARINO,83.3,65300,33285
ICELAND,83,48100,335878
HONG KONG,82.9,58100,7167403
ANDORRA,82.8,37200,85660
SWITZERLAND,82.6,59400,8179294
GUERNSEY,82.5,52300,66297
ISRAEL,82.4,34800,8174527
"KOREA, SOUTH",82.4,37900,50924172
LUXEMBOURG,82.3,102000,582291
ITALY,82.2,36300,62007540
AUSTRALIA,82.2,48800,22992654
SWEDEN,82.1,49700,9880604
LIECHTENSTEIN,81.9,89400,37937
JERSEY,81.9,57000,98069
CANADA,81.9,46200,35362905
FRANCE,81.8,42400,66836154
NORWAY,81.8,69300,5265158
SPAIN,81.7,36500,48563476
AUSTRIA,81.5,47900,8711770
ANGUILLA,81.4,12200,16752
NETHERLANDS,81.3,50800,17016967
BERMUDA,81.3,85700,70537
ISLE OF MAN,81.2,83100,88195
NEW ZEALAND,81.2,37100,4474549
CAYMAN ISLANDS,81.2,43800,57268
BELGIUM,81,44900,11409077
FINLAND,80.9,41800,5498211
IRELAND,80.8,69400,4952473
UNITED KINGDOM,80.7,42500,64430428
GERMANY,80.7,48200,80722792
GREECE,80.5,26800,10773253
SAINT PIERRE AND MIQUELON,80.5,34900,#N/A
MALTA,80.4,37900,415196
FAROE ISLANDS,80.4,36600,50456
EUROPEAN UNION,80.2,37800,513949445
TAIWAN,80.1,47800,23464787
VIRGIN ISLANDS,80,36100,102951
UNITED STATES,79.8,57300,323995528
TURKS AND CAICOS ISLANDS,79.8,29100,51430
WALLIS AND FUTUNA,79.7,3800,15664
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",79.5,7800,#N/A
GIBRALTAR,79.4,43000,29328
DENMARK,79.4,46600,5593785
PUERTO RICO,79.4,37700,3578056
PORTUGAL,79.3,28500,10833816
GUAM,79.1,30500,162742
BAHRAIN,78.9,50300,1378904
CHILE,78.8,24000,17650114
CYPRUS,78.7,34400,1205575
QATAR,78.7,129700,2258283
CUBA,78.7,11600,11179995
CZECHIA,78.6,33200,10644842
PANAMA,78.6,22800,3705246
COSTA RICA,78.6,16100,4872543
BRITISH VIRGIN ISLANDS,78.6,42300,34232
CURACAO,78.3,15000,149035
ALBANIA,78.3,11900,3038594
SLOVENIA,78.2,32000,1978029
SINT MAARTEN,78.1,66800,41486
DOMINICAN REPUBLIC,78.1,15900,10606865
NORTHERN MARIANA ISLANDS,78,13300,53467
KUWAIT,78,71300,2832776
SAINT LUCIA,77.8,12000,164464
NEW CALEDONIA,77.7,38800,275355
LEBANON,77.6,18500,6237738
POLAND,77.6,27700,38523261
UNITED ARAB EMIRATES,77.5,67700,5927482
FRENCH POLYNESIA,77.2,26100,285321
URUGUAY,77.2,21600,3351016
PARAGUAY,77.2,9400,6862812
BRUNEI,77.2,79700,436620
SLOVAKIA,77.1,31200,5445802
ARGENTINA,77.1,20200,43886748
DOMINICA,77,11400,73757
MOROCCO,76.9,8400,33655786
ARUBA,76.8,25300,113648
ALGERIA,76.8,15000,40263711
SRI LANKA,76.8,11200,22235000
ECUADOR,76.8,11000,16080778
BOSNIA AND HERZEGOVINA,76.7,11000,3861912
ESTONIA,76.7,29500,1258545
ANTIGUA AND BARBUDA,76.5,24100,93581
LIBYA,76.5,14200,6541948
GEORGIA,76.2,10100,4928052
MACEDONIA,76.2,14500,2100025
TONGA,76.2,5300,106513
TUNISIA,76.1,11700,11134588
HUNGARY,75.9,27200,9874784
MEXICO,75.9,18900,123166749
CROATIA,75.9,22400,4313707
COOK ISLANDS,75.8,12300,#N/A
VENEZUELA,75.8,15100,30912302
SAINT KITTS AND NEVIS,75.7,25500,52329
COLOMBIA,75.7,14200,47220856
MALDIVES,75.6,15300,392960
MAURITIUS,75.6,20500,1348242
CHINA,75.5,15400,1373541278
OMAN,75.5,43700,3355262
SERBIA,75.5,14200,7143921
AMERICAN SAMOA,75.4,13000,54194
SAUDI ARABIA,75.3,54100,28160273
BARBADOS,75.3,17200,291495
SAINT VINCENT AND THE GRENADINES,75.3,11300,102350
SOLOMON ISLANDS,75.3,2000,635027
ROMANIA,75.1,22300,21599736
MALAYSIA,75,27200,30949962
WEST BANK,75,4300,2697687
IRAQ,74.9,16500,38146025
LITHUANIA,74.9,29900,2854235
SYRIA,74.9,2900,17185170
TURKEY,74.8,21100,80274604
THAILAND,74.7,16800,68200824
EL SALVADOR,74.7,8900,6156670
SEYCHELLES,74.7,28000,93186
JORDAN,74.6,11100,8185384
ARMENIA,74.6,8900,3051250
BULGARIA,74.5,20100,7144653
LATVIA,74.5,25700,1965686
MONTSERRAT,74.4,8500,#N/A
GRENADA,74.3,14100,111219
GAZA STRIP,73.9,#N/A,1753327
UZBEKISTAN,73.8,6500,29473614
BRAZIL,73.8,15200,205823665
SAMOA,73.7,5400,198926
PERU,73.7,13000,30741062
JAMAICA,73.6,9000,2970340
VANUATU,73.4,2600,277554
VIETNAM,73.4,6400,95261021
BANGLADESH,73.2,3900,156186882
NICARAGUA,73.2,5300,5966798
PALAU,73.1,15300,21347
MARSHALL ISLANDS,73.1,3300,73376
"MICRONESIA, FEDERATED STATES OF",72.9,3000,104719
TRINIDAD AND TOBAGO,72.9,31900,1220479
BELARUS,72.7,17500,9570376
FIJI,72.7,9400,915303
INDONESIA,72.7,11700,258316051
EGYPT,72.7,12100,94666993
AZERBAIJAN,72.5,17700,9872765
GREENLAND,72.4,37900,57728
"BAHAMAS, THE",72.4,24600,327316
GUATEMALA,72.3,7900,15189958
SURINAME,72.2,15200,585824
CABO VERDE,72.1,6700,553432
UKRAINE,71.8,8200,44209733
IRAN,71.4,18100,82801633
HONDURAS,71.1,5300,8893259
KAZAKHSTAN,70.8,25700,18360353
RUSSIA,70.8,26100,142355415
MOLDOVA,70.7,5200,3510485
NEPAL,70.7,2500,29033914
KYRGYZSTAN,70.7,3500,5727553
"KOREA, NORTH",70.4,1800,25115311
TURKMENISTAN,70.1,17300,5291317
BHUTAN,70.1,8100,750125
MONGOLIA,69.6,12200,3031330
PHILIPPINES,69.2,7700,102624209
BOLIVIA,69.2,7200,10969649
BELIZE,68.7,8200,353858
INDIA,68.5,6700,1266883598
GUYANA,68.4,7900,735909
TIMOR-LESTE,68.1,4200,1261072
PAKISTAN,67.7,5100,201995540
TAJIKISTAN,67.7,3000,8330946
PAPUA NEW GUINEA,67.2,3500,6791317
NAURU,67.1,14800,9591
BURMA,66.6,6000,56890418
GHANA,66.6,4400,26908262
TUVALU,66.5,3500,10959
KIRIBATI,66.2,1800,106925
MADAGASCAR,65.9,1500,24430325
YEMEN,65.5,2500,27392779
TOGO,65,1500,7756937
"GAMBIA, THE",64.9,1700,2009648
SAO TOME AND PRINCIPE,64.9,3300,197541
ERITREA,64.9,1300,5869869
CAMBODIA,64.5,3700,15957223
LAOS,64.3,5700,7019073
EQUATORIAL GUINEA,64.2,38700,759451
COMOROS,64.2,1500,794678
SUDAN,64.1,4500,36729501
KENYA,64,3400,46790758
HAITI,63.8,1800,10485800
NAMIBIA,63.6,11800,2436469
DJIBOUTI,63.2,3400,846687
SOUTH AFRICA,63.1,13200,54300704
WESTERN SAHARA,63,2500,587020
MAURITANIA,63,4400,3677293
TANZANIA,62.2,3100,52482726
ETHIOPIA,62.2,1900,102374044
BENIN,61.9,2200,10741458
SENEGAL,61.7,2600,14320055
MALAWI,61.2,1100,18570321
GUINEA,60.6,1300,12093349
BURUNDI,60.5,#N/A,11099298
RWANDA,60.1,1900,12988423
"CONGO, REPUBLIC OF THE",59.3,6800,4852412
LIBERIA,59,#N/A,4299944
COTE D'IVOIRE,58.7,3600,23740424
CAMEROON,58.5,3300,24360803
SIERRA LEONE,58.2,1700,6018888
ZIMBABWE,58,2000,14546961
"CONGO, DEMOCRATIC REPUBLIC OF THE",57.3,#N/A,81331050
ANGOLA,56,6800,20172332
MALI,55.8,2300,17467108
BURKINA FASO,55.5,1800,19512533
NIGER,55.5,1100,18638600
UGANDA,55.4,2100,38319241
BOTSWANA,54.5,16900,2209208
NIGERIA,53.4,5900,186053386
MOZAMBIQUE,53.3,1200,25930150
LESOTHO,53,3100,1953070
ZAMBIA,52.5,3900,15510711
SOMALIA,52.4,#N/A,10817354
CENTRAL AFRICAN REPUBLIC,52.3,#N/A,5507257
GABON,52.1,19300,1738541
SWAZILAND,51.6,9800,1451428
AFGHANISTAN,51.3,2000,33332025
GUINEA-BISSAU,50.6,1600,1759159
CHAD,50.2,2600,11852462
